CoAuthor("Maryam_Fazel","Sham_M_Kakade").
CoAuthor("Judy_Hoffman","Trevor_Darrell").
CoAuthor("Kavosh_Asadi","Dipendra_Kumar_Misra").
CoAuthor("Sham_M_Kakade","Mehran_Mesbahi").
CoAuthor("Anish_Athalye","Kevin_Kwok").
CoAuthor("Sai_Praneeth_Reddy_Karimireddy","Sebastian_U_Stich").
CoAuthor("Eric_Tzeng","Jun_Yan_Zhu").
CoAuthor("Eric_Tzeng","Phillip_Isola").
CoAuthor("Quanzheng_Li","Bin_Dong").
CoAuthor("Mingyi_Hong","Meisam_Razaviyayn").
CoAuthor("Abhishek_Bansal","Chiranjib_Bhattacharyya").
CoAuthor("Abhishek_Bansal","Abhinav_Anand").
CoAuthor("Nicholas_Carlini","Jessy_Lin").
CoAuthor("Giambattista_Parascandolo","Niki_Kilbertus").
CoAuthor("Barret_Zoph","Quoc_V_Le").
CoAuthor("Gunnar_Raetsch","Bernhard_Scholkopf").
CoAuthor("Aythami_Morales","Russell_L_Woods").
CoAuthor("David_A_Wagner","Jessy_Lin").
CoAuthor("Niki_Kilbertus","Bernhard_Scholkopf").
CoAuthor("Sebastian_U_Stich","Martin_Jaggi").
CoAuthor("Hieu_Pham","Jeffrey_Dean").
CoAuthor("Netanel_Raviv","Alexandros_G_Dimakis").
CoAuthor("Christopher_Re","Frederic_Sala").
CoAuthor("Melody_Y_Guan","Quoc_V_Le").
CoAuthor("Vincent_Chen","Wong").
CoAuthor("Furong_Huang","Robert_E_Schapire").
CoAuthor("Kate_Saenko","Trevor_Darrell").
CoAuthor("Kevin_Kwok","Jessy_Lin").
CoAuthor("Bernhard_Scholkopf","Sebastian_U_Stich").
CoAuthor("Anish_Athalye","David_A_Wagner").
CoAuthor("Barret_Zoph","Jeffrey_Dean").
